modelID,type,accountID,isMain,isSAR
0,fan_out,34,True,False
0,fan_out,80,False,False
0,fan_out,46,False,False
0,fan_out,996,False,False
0,fan_out,12,False,False
0,fan_out,1050,False,False
0,fan_out,58,False,False
0,fan_out,51,False,False
0,fan_out,36,False,False
0,fan_out,281,False,False
0,fan_out,863,False,False
0,fan_out,28,False,False
0,fan_out,360,False,False
1,fan_out,50,True,False
1,fan_out,1161,False,False
1,fan_out,1045,False,False
1,fan_out,11,False,False
1,fan_out,951,False,False
1,fan_out,871,False,False
1,fan_out,65,False,False
1,fan_out,39,False,False
1,fan_out,21,False,False
1,fan_out,224,False,False
1,fan_out,18,False,False
1,fan_out,37,False,False
1,fan_out,35,False,False
1,fan_out,359,False,False
1,fan_out,349,False,False
1,fan_out,338,False,False
1,fan_out,22,False,False
1,fan_out,158,False,False
1,fan_out,24,False,False
1,fan_out,138,False,False
2,fan_out,12,True,False
2,fan_out,60,False,False
2,fan_out,142,False,False
2,fan_out,74,False,False
2,fan_out,25,False,False
2,fan_out,1014,False,False
2,fan_out,20,False,False
2,fan_out,296,False,False
2,fan_out,475,False,False
2,fan_out,1048,False,False
2,fan_out,55,False,False
2,fan_out,990,False,False
2,fan_out,76,False,False
2,fan_out,1000,False,False
2,fan_out,41,False,False
2,fan_out,95,False,False
3,fan_out,60,True,False
3,fan_out,154,False,False
3,fan_out,33,False,False
3,fan_out,32,False,False
3,fan_out,109,False,False
3,fan_out,456,False,False
3,fan_out,193,False,False
3,fan_out,13,False,False
4,fan_out,38,True,False
4,fan_out,9,False,False
4,fan_out,345,False,False
4,fan_out,47,False,False
4,fan_out,29,False,False
4,fan_out,10,False,False
4,fan_out,163,False,False
4,fan_out,335,False,False
4,fan_out,766,False,False
4,fan_out,64,False,False
4,fan_out,18,False,False
4,fan_out,540,False,False
4,fan_out,27,False,False
4,fan_out,152,False,False
4,fan_out,741,False,False
4,fan_out,36,False,False
4,fan_out,728,False,False
4,fan_out,69,False,False
4,fan_out,102,False,False
4,fan_out,88,False,False
5,fan_out,76,True,False
5,fan_out,61,False,False
5,fan_out,44,False,False
5,fan_out,4,False,False
5,fan_out,62,False,False
5,fan_out,45,False,False
5,fan_out,279,False,False
5,fan_out,953,False,False
5,fan_out,351,False,False
5,fan_out,11,False,False
5,fan_out,81,False,False
5,fan_out,6,False,False
5,fan_out,147,False,False
5,fan_out,39,False,False
5,fan_out,346,False,False
5,fan_out,20,False,False
5,fan_out,377,False,False
6,fan_out,39,True,False
6,fan_out,133,False,False
6,fan_out,4,False,False
6,fan_out,9,False,False
6,fan_out,268,False,False
6,fan_out,45,False,False
6,fan_out,113,False,False
6,fan_out,246,False,False
6,fan_out,1,False,False
6,fan_out,114,False,False
6,fan_out,29,False,False
7,fan_out,56,True,False
7,fan_out,105,False,False
7,fan_out,1036,False,False
7,fan_out,126,False,False
7,fan_out,73,False,False
7,fan_out,35,False,False
7,fan_out,79,False,False
7,fan_out,87,False,False
7,fan_out,31,False,False
7,fan_out,17,False,False
7,fan_out,8,False,False
7,fan_out,14,False,False
8,fan_out,29,True,False
8,fan_out,877,False,False
8,fan_out,755,False,False
8,fan_out,55,False,False
8,fan_out,336,False,False
8,fan_out,64,False,False
8,fan_out,889,False,False
8,fan_out,24,False,False
8,fan_out,630,False,False
8,fan_out,19,False,False
8,fan_out,369,False,False
8,fan_out,206,False,False
8,fan_out,1228,False,False
8,fan_out,1211,False,False
8,fan_out,370,False,False
8,fan_out,57,False,False
8,fan_out,11,False,False
8,fan_out,330,False,False
8,fan_out,22,False,False
8,fan_out,27,False,False
9,fan_out,32,True,False
9,fan_out,102,False,False
9,fan_out,15,False,False
9,fan_out,5,False,False
9,fan_out,83,False,False
9,fan_out,283,False,False
9,fan_out,62,False,False
9,fan_out,344,False,False
10,fan_in,19,True,False
10,fan_in,663,False,False
10,fan_in,38,False,False
10,fan_in,548,False,False
10,fan_in,18,False,False
10,fan_in,896,False,False
10,fan_in,154,False,False
11,fan_in,97,True,False
11,fan_in,16,False,False
11,fan_in,29,False,False
11,fan_in,375,False,False
11,fan_in,54,False,False
11,fan_in,748,False,False
11,fan_in,85,False,False
11,fan_in,249,False,False
11,fan_in,252,False,False
11,fan_in,57,False,False
11,fan_in,36,False,False
11,fan_in,760,False,False
11,fan_in,96,False,False
11,fan_in,103,False,False
11,fan_in,49,False,False
12,fan_in,7,True,False
12,fan_in,78,False,False
12,fan_in,257,False,False
12,fan_in,260,False,False
12,fan_in,90,False,False
12,fan_in,1204,False,False
12,fan_in,166,False,False
12,fan_in,8,False,False
12,fan_in,47,False,False
13,fan_in,99,True,False
